nohup: ignoring input
Using device: cuda:1
Run checkpoints will be saved to: training_outputs/ckpts/20260713_012129
Concept branches | visual_concept_on=True | temporal_concepts_on=False | visual_concept_logit_scale=1.0
Train: 21351 windows (/data/quantization/zaima/dh1k/training) | Val: 3722 windows (/data/quantization/zaima/dh1k/testing) | window_len=16
Initialized saliency bias to logit(0.0177) = -4.0163 for: final_upsample_head.head, patch_logit_head
Backbone fine-tuning enabled | effective_batch_size=4 | micro_batch_size=4 | grad_accum_steps=1 | gradient_checkpointing=False | visual_equiv=off

Epoch 1/100

Train epoch 1:   2%|▏         | 131/5338 [00:54<31:43,  2.73it/s, loss=-0.6940]
Train epoch 1:   2%|▏         | 131/5338 [00:54<31:43,  2.73it/s, loss=-1.3543]
Train epoch 1:   2%|▏         | 132/5338 [00:54<31:25,  2.76it/s, loss=-1.3543]
Train epoch 1:   2%|▏         | 132/5338 [00:54<31:25,  2.76it/s, loss=-0.5915]
Train epoch 1:   2%|▏         | 133/5338 [00:54<31:38,  2.74it/s, loss=-0.5915]
Train epoch 1:   2%|▏         | 133/5338 [00:55<31:38,  2.74it/s, loss=-0.8154]
Train epoch 1:   3%|▎         | 134/5338 [00:55<31:52,  2.72it/s, loss=-0.8154]
Train epoch 1:   3%|▎         | 134/5338 [00:55<31:52,  2.72it/s, loss=-0.6882]
Train epoch 1:   3%|▎         | 135/5338 [00:55<31:17,  2.77it/s, loss=-0.6882]
Train epoch 1:   3%|▎         | 135/5338 [00:55<31:17,  2.77it/s, loss=-1.4176]
Train epoch 1:   3%|▎         | 136/5338 [00:55<30:53,  2.81it/s, loss=-1.4176]
Train epoch 1:   3%|▎         | 136/5338 [00:56<30:53,  2.81it/s, loss=-0.7155]
Train epoch 1:   3%|▎         | 137/5338 [00:56<30:16,  2.86it/s, loss=-0.7155]
Train epoch 1:   3%|▎         | 137/5338 [00:56<30:16,  2.86it/s, loss=-1.0142]
Train epoch 1:   3%|▎         | 138/5338 [00:56<30:01,  2.89it/s, loss=-1.0142]
Train epoch 1:   3%|▎         | 138/5338 [00:56<30:01,  2.89it/s, loss=-0.5371]
Train epoch 1:   3%|▎         | 139/5338 [00:56<30:12,  2.87it/s, loss=-0.5371]
Train epoch 1:   3%|▎         | 139/5338 [00:57<30:12,  2.87it/s, loss=-1.7963]
Train epoch 1:   3%|▎         | 140/5338 [00:57<30:01,  2.89it/s, loss=-1.7963]
Train epoch 1:   3%|▎         | 140/5338 [00:57<30:01,  2.89it/s, loss=-0.3082]
Train epoch 1:   3%|▎         | 141/5338 [00:57<30:20,  2.85it/s, loss=-0.3082]
Train epoch 1:   3%|▎         | 141/5338 [00:57<30:20,  2.85it/s, loss=-0.5486]
Train epoch 1:   3%|▎         | 142/5338 [00:57<30:28,  2.84it/s, loss=-0.5486]
Train epoch 1:   3%|▎         | 142/5338 [00:58<30:28,  2.84it/s, loss=-0.6955]
Train epoch 1:   3%|▎         | 143/5338 [00:58<30:42,  2.82it/s, loss=-0.6955]
Train epoch 1:   3%|▎         | 143/5338 [00:58<30:42,  2.82it/s, loss=-1.4654]
Train epoch 1:   3%|▎         | 144/5338 [00:58<30:09,  2.87it/s, loss=-1.4654]
Train epoch 1:   3%|▎         | 144/5338 [00:58<30:09,  2.87it/s, loss=-1.9768]
Train epoch 1:   3%|▎         | 145/5338 [00:58<30:05,  2.88it/s, loss=-1.9768]
Train epoch 1:   3%|▎         | 145/5338 [00:59<30:05,  2.88it/s, loss=-1.8781]
Train epoch 1:   3%|▎         | 146/5338 [00:59<30:22,  2.85it/s, loss=-1.8781]
Train epoch 1:   3%|▎         | 146/5338 [00:59<30:22,  2.85it/s, loss=-0.6907]
Train epoch 1:   3%|▎         | 147/5338 [00:59<30:36,  2.83it/s, loss=-0.6907]
Train epoch 1:   3%|▎         | 147/5338 [01:00<30:36,  2.83it/s, loss=-1.3030]
Train epoch 1:   3%|▎         | 148/5338 [01:00<30:16,  2.86it/s, loss=-1.3030]
Train epoch 1:   3%|▎         | 148/5338 [01:00<30:16,  2.86it/s, loss=-1.9175]
Train epoch 1:   3%|▎         | 149/5338 [01:00<30:07,  2.87it/s, loss=-1.9175]
Train epoch 1:   3%|▎         | 149/5338 [01:00<30:07,  2.87it/s, loss=-3.1044]
Train epoch 1:   3%|▎         | 150/5338 [01:00<29:45,  2.91it/s, loss=-3.1044]
Train epoch 1:   3%|▎         | 150/5338 [01:01<29:45,  2.91it/s, loss=-1.2865]
Train epoch 1:   3%|▎         | 151/5338 [01:01<29:48,  2.90it/s, loss=-1.2865]
Train epoch 1:   3%|▎         | 151/5338 [01:01<29:48,  2.90it/s, loss=-1.8989]
Train epoch 1:   3%|▎         | 152/5338 [01:01<29:41,  2.91it/s, loss=-1.8989]
Train epoch 1:   3%|▎         | 152/5338 [01:01<29:41,  2.91it/s, loss=-1.8858]
Train epoch 1:   3%|▎         | 153/5338 [01:01<29:24,  2.94it/s, loss=-1.8858]
Train epoch 1:   3%|▎         | 153/5338 [01:02<29:24,  2.94it/s, loss=-2.2554]
Train epoch 1:   3%|▎         | 154/5338 [01:02<29:19,  2.95it/s, loss=-2.2554]
Train epoch 1:   3%|▎         | 154/5338 [01:02<29:19,  2.95it/s, loss=-1.2195]
Train epoch 1:   3%|▎         | 155/5338 [01:02<29:27,  2.93it/s, loss=-1.2195]
Train epoch 1:   3%|▎         | 155/5338 [01:02<29:27,  2.93it/s, loss=-1.7399]
Train epoch 1:   3%|▎         | 156/5338 [01:02<29:47,  2.90it/s, loss=-1.7399]
Train epoch 1:   3%|▎         | 156/5338 [01:03<29:47,  2.90it/s, loss=-1.4154]
Train epoch 1:   3%|▎         | 157/5338 [01:03<30:05,  2.87it/s, loss=-1.4154]
Train epoch 1:   3%|▎         | 157/5338 [01:03<30:05,  2.87it/s, loss=-1.5612]
Train epoch 1:   3%|▎         | 158/5338 [01:03<30:21,  2.84it/s, loss=-1.5612]
Train epoch 1:   3%|▎         | 158/5338 [01:03<30:21,  2.84it/s, loss=-0.7676]
Train epoch 1:   3%|▎         | 159/5338 [01:03<30:21,  2.84it/s, loss=-0.7676]
Train epoch 1:   3%|▎         | 159/5338 [01:04<30:21,  2.84it/s, loss=-1.9276]
Train epoch 1:   3%|▎         | 160/5338 [01:04<30:13,  2.86it/s, loss=-1.9276]
Train epoch 1:   3%|▎         | 160/5338 [01:04<30:13,  2.86it/s, loss=-0.9807]
Train epoch 1:   3%|▎         | 161/5338 [01:04<29:40,  2.91it/s, loss=-0.9807]
Train epoch 1:   3%|▎         | 161/5338 [01:04<29:40,  2.91it/s, loss=-1.5950]
Train epoch 1:   3%|▎         | 162/5338 [01:04<30:03,  2.87it/s, loss=-1.5950]
Train epoch 1:   3%|▎         | 162/5338 [01:05<30:03,  2.87it/s, loss=-1.0470]
Train epoch 1:   3%|▎         | 163/5338 [01:05<29:36,  2.91it/s, loss=-1.0470]
Train epoch 1:   3%|▎         | 163/5338 [01:05<29:36,  2.91it/s, loss=-1.4342]
Train epoch 1:   3%|▎         | 164/5338 [01:05<30:03,  2.87it/s, loss=-1.4342]
Train epoch 1:   3%|▎         | 164/5338 [01:05<30:03,  2.87it/s, loss=-1.9371]
Train epoch 1:   3%|▎         | 165/5338 [01:05<30:18,  2.84it/s, loss=-1.9371]
Train epoch 1:   3%|▎         | 165/5338 [01:06<30:18,  2.84it/s, loss=-1.2608]
Train epoch 1:   3%|▎         | 166/5338 [01:06<30:15,  2.85it/s, loss=-1.2608]
Train epoch 1:   3%|▎         | 166/5338 [01:06<30:15,  2.85it/s, loss=-0.9287]
Train epoch 1:   3%|▎         | 167/5338 [01:06<30:22,  2.84it/s, loss=-0.9287]
Train epoch 1:   3%|▎         | 167/5338 [01:06<30:22,  2.84it/s, loss=-0.8680]
Train epoch 1:   3%|▎         | 168/5338 [01:06<30:13,  2.85it/s, loss=-0.8680]
Train epoch 1:   3%|▎         | 168/5338 [01:07<30:13,  2.85it/s, loss=-1.7717]
Train epoch 1:   3%|▎         | 169/5338 [01:07<30:24,  2.83it/s, loss=-1.7717]
Train epoch 1:   3%|▎         | 169/5338 [01:07<30:24,  2.83it/s, loss=-0.5599]
Train epoch 1:   3%|▎         | 170/5338 [01:07<29:43,  2.90it/s, loss=-0.5599]
Train epoch 1:   3%|▎         | 170/5338 [01:07<29:43,  2.90it/s, loss=-1.2839]
Train epoch 1:   3%|▎         | 171/5338 [01:08<29:27,  2.92it/s, loss=-1.2839]
Train epoch 1:   3%|▎         | 171/5338 [01:08<29:27,  2.92it/s, loss=-0.1139]
Train epoch 1:   3%|▎         | 172/5338 [01:08<29:21,  2.93it/s, loss=-0.1139]
Train epoch 1:   3%|▎         | 172/5338 [01:08<29:21,  2.93it/s, loss=-1.1114]
Train epoch 1:   3%|▎         | 173/5338 [01:08<29:35,  2.91it/s, loss=-1.1114]
Train epoch 1:   3%|▎         | 173/5338 [01:09<29:35,  2.91it/s, loss=-0.9271]
Train epoch 1:   3%|▎         | 174/5338 [01:09<29:24,  2.93it/s, loss=-0.9271]
Train epoch 1:   3%|▎         | 174/5338 [01:09<29:24,  2.93it/s, loss=-1.4993]
Train epoch 1:   3%|▎         | 175/5338 [01:09<29:54,  2.88it/s, loss=-1.4993]
Train epoch 1:   3%|▎         | 175/5338 [01:09<29:54,  2.88it/s, loss=-1.4298]
Train epoch 1:   3%|▎         | 176/5338 [01:09<29:34,  2.91it/s, loss=-1.4298]
Train epoch 1:   3%|▎         | 176/5338 [01:10<29:34,  2.91it/s, loss=-2.4290]
Train epoch 1:   3%|▎         | 177/5338 [01:10<29:11,  2.95it/s, loss=-2.4290]
Train epoch 1:   3%|▎         | 177/5338 [01:10<29:11,  2.95it/s, loss=0.1274] 
Train epoch 1:   3%|▎         | 178/5338 [01:10<29:07,  2.95it/s, loss=0.1274]
Train epoch 1:   3%|▎         | 178/5338 [01:10<29:07,  2.95it/s, loss=-2.1379]
Train epoch 1:   3%|▎         | 179/5338 [01:10<29:39,  2.90it/s, loss=-2.1379]
Train epoch 1:   3%|▎         | 179/5338 [01:11<29:39,  2.90it/s, loss=-1.3609]
Train epoch 1:   3%|▎         | 180/5338 [01:11<30:01,  2.86it/s, loss=-1.3609]
Train epoch 1:   3%|▎         | 180/5338 [01:11<30:01,  2.86it/s, loss=-1.4588]
Train epoch 1:   3%|▎         | 181/5338 [01:11<30:11,  2.85it/s, loss=-1.4588]
Train epoch 1:   3%|▎         | 181/5338 [01:11<30:11,  2.85it/s, loss=-1.0481]
Train epoch 1:   3%|▎         | 182/5338 [01:11<29:44,  2.89it/s, loss=-1.0481]
Train epoch 1:   3%|▎         | 182/5338 [01:12<29:44,  2.89it/s, loss=-1.6372]
Train epoch 1:   3%|▎         | 183/5338 [01:12<30:04,  2.86it/s, loss=-1.6372]
Train epoch 1:   3%|▎         | 183/5338 [01:12<30:04,  2.86it/s, loss=-1.6196]
Train epoch 1:   3%|▎         | 184/5338 [01:12<29:56,  2.87it/s, loss=-1.6196]
Train epoch 1:   3%|▎         | 184/5338 [01:12<29:56,  2.87it/s, loss=-1.9381]
Train epoch 1:   3%|▎         | 185/5338 [01:12<29:38,  2.90it/s, loss=-1.9381]
Train epoch 1:   3%|▎         | 185/5338 [01:13<29:38,  2.90it/s, loss=-1.2950]
Train epoch 1:   3%|▎         | 186/5338 [01:13<29:12,  2.94it/s, loss=-1.2950]
Train epoch 1:   3%|▎         | 186/5338 [01:13<29:12,  2.94it/s, loss=-2.2909]
Train epoch 1:   4%|▎         | 187/5338 [01:13<29:26,  2.92it/s, loss=-2.2909]
Train epoch 1:   4%|▎         | 187/5338 [01:13<29:26,  2.92it/s, loss=-0.9419]
Train epoch 1:   4%|▎         | 188/5338 [01:13<29:36,  2.90it/s, loss=-0.9419]
Train epoch 1:   4%|▎         | 188/5338 [01:14<29:36,  2.90it/s, loss=-0.1667]
Train epoch 1:   4%|▎         | 189/5338 [01:14<29:38,  2.90it/s, loss=-0.1667]
Train epoch 1:   4%|▎         | 189/5338 [01:14<29:38,  2.90it/s, loss=-1.1422]
Train epoch 1:   4%|▎         | 190/5338 [01:14<29:32,  2.90it/s, loss=-1.1422]
Train epoch 1:   4%|▎         | 190/5338 [01:14<29:32,  2.90it/s, loss=-0.6182]
Train epoch 1:   4%|▎         | 191/5338 [01:14<29:56,  2.86it/s, loss=-0.6182]
Train epoch 1:   4%|▎         | 191/5338 [01:15<29:56,  2.86it/s, loss=-1.8653]
Train epoch 1:   4%|▎         | 192/5338 [01:15<30:10,  2.84it/s, loss=-1.8653]
Train epoch 1:   4%|▎         | 192/5338 [01:15<30:10,  2.84it/s, loss=-0.5583]
Train epoch 1:   4%|▎         | 193/5338 [01:15<30:26,  2.82it/s, loss=-0.5583]
Train epoch 1:   4%|▎         | 193/5338 [01:15<30:26,  2.82it/s, loss=-2.0882]
Train epoch 1:   4%|▎         | 194/5338 [01:15<29:46,  2.88it/s, loss=-2.0882]
Train epoch 1:   4%|▎         | 194/5338 [01:16<29:46,  2.88it/s, loss=-2.0580]
Train epoch 1:   4%|▎         | 195/5338 [01:16<29:54,  2.87it/s, loss=-2.0580]
Train epoch 1:   4%|▎         | 195/5338 [01:16<29:54,  2.87it/s, loss=-0.7867]
Train epoch 1:   4%|▎         | 196/5338 [01:16<29:18,  2.92it/s, loss=-0.7867]
Train epoch 1:   4%|▎         | 196/5338 [01:17<29:18,  2.92it/s, loss=-1.5479]
Train epoch 1:   4%|▎         | 197/5338 [01:17<29:48,  2.87it/s, loss=-1.5479]
Train epoch 1:   4%|▎         | 197/5338 [01:17<29:48,  2.87it/s, loss=-1.5601]
Train epoch 1:   4%|▎         | 198/5338 [01:17<29:50,  2.87it/s, loss=-1.5601]
Train epoch 1:   4%|▎         | 198/5338 [01:17<29:50,  2.87it/s, loss=-1.5577]
Train epoch 1:   4%|▎         | 199/5338 [01:17<29:42,  2.88it/s, loss=-1.5577]
Train epoch 1:   4%|▎         | 199/5338 [01:18<29:42,  2.88it/s, loss=-1.7905]
Train epoch 1:   4%|▎         | 200/5338 [01:18<30:07,  2.84it/s, loss=-1.7905]
Train epoch 1:   4%|▎         | 200/5338 [01:18<30:07,  2.84it/s, loss=-1.6141]
Train epoch 1:   4%|▍         | 201/5338 [01:18<30:07,  2.84it/s, loss=-1.6141]
Train epoch 1:   4%|▍         | 201/5338 [01:18<30:07,  2.84it/s, loss=-1.7702]
Train epoch 1:   4%|▍         | 202/5338 [01:18<30:21,  2.82it/s, loss=-1.7702]
Train epoch 1:   4%|▍         | 202/5338 [01:19<30:21,  2.82it/s, loss=-0.9028]
Train epoch 1:   4%|▍         | 203/5338 [01:19<30:33,  2.80it/s, loss=-0.9028]
Train epoch 1:   4%|▍         | 203/5338 [01:19<30:33,  2.80it/s, loss=-1.1689]
Train epoch 1:   4%|▍         | 204/5338 [01:19<30:41,  2.79it/s, loss=-1.1689]
Train epoch 1:   4%|▍         | 204/5338 [01:19<30:41,  2.79it/s, loss=-3.2287]
Train epoch 1:   4%|▍         | 205/5338 [01:19<30:01,  2.85it/s, loss=-3.2287]
Train epoch 1:   4%|▍         | 205/5338 [01:20<30:01,  2.85it/s, loss=-1.2544]
Train epoch 1:   4%|▍         | 206/5338 [01:20<30:03,  2.84it/s, loss=-1.2544]
Train epoch 1:   4%|▍         | 206/5338 [01:20<30:03,  2.84it/s, loss=-1.6199]
Train epoch 1:   4%|▍         | 207/5338 [01:20<30:12,  2.83it/s, loss=-1.6199]
Train epoch 1:   4%|▍         | 207/5338 [01:20<30:12,  2.83it/s, loss=-2.6022]
Train epoch 1:   4%|▍         | 208/5338 [01:20<30:12,  2.83it/s, loss=-2.6022]
Train epoch 1:   4%|▍         | 208/5338 [01:21<30:12,  2.83it/s, loss=-1.0297]
Train epoch 1:   4%|▍         | 209/5338 [01:21<29:53,  2.86it/s, loss=-1.0297]
Train epoch 1:   4%|▍         | 209/5338 [01:21<29:53,  2.86it/s, loss=-1.0763]
Train epoch 1:   4%|▍         | 210/5338 [01:21<30:11,  2.83it/s, loss=-1.0763]
Train epoch 1:   4%|▍         | 210/5338 [01:21<30:11,  2.83it/s, loss=-1.5021]
Train epoch 1:   4%|▍         | 211/5338 [01:21<30:06,  2.84it/s, loss=-1.5021]
Train epoch 1:   4%|▍         | 211/5338 [01:22<30:06,  2.84it/s, loss=-1.3069]
Train epoch 1:   4%|▍         | 212/5338 [01:22<29:26,  2.90it/s, loss=-1.3069]
Train epoch 1:   4%|▍         | 212/5338 [01:22<29:26,  2.90it/s, loss=-3.2615]
Train epoch 1:   4%|▍         | 213/5338 [01:22<28:59,  2.95it/s, loss=-3.2615]
Train epoch 1:   4%|▍         | 213/5338 [01:22<28:59,  2.95it/s, loss=-0.6668]
Train epoch 1:   4%|▍         | 214/5338 [01:22<29:34,  2.89it/s, loss=-0.6668]
Train epoch 1:   4%|▍         | 214/5338 [01:23<29:34,  2.89it/s, loss=-1.2119]
Train epoch 1:   4%|▍         | 215/5338 [01:23<29:56,  2.85it/s, loss=-1.2119]
Train epoch 1:   4%|▍         | 215/5338 [01:23<29:56,  2.85it/s, loss=-1.9074]
Train epoch 1:   4%|▍         | 216/5338 [01:23<30:04,  2.84it/s, loss=-1.9074]
Train epoch 1:   4%|▍         | 216/5338 [01:24<30:04,  2.84it/s, loss=-0.9945]
Train epoch 1:   4%|▍         | 217/5338 [01:24<29:34,  2.89it/s, loss=-0.9945]
Train epoch 1:   4%|▍         | 217/5338 [01:24<29:34,  2.89it/s, loss=-1.2808]
Train epoch 1:   4%|▍         | 218/5338 [01:24<29:13,  2.92it/s, loss=-1.2808]
Train epoch 1:   4%|▍         | 218/5338 [01:24<29:13,  2.92it/s, loss=-1.4686]
Train epoch 1:   4%|▍         | 219/5338 [01:24<28:47,  2.96it/s, loss=-1.4686]
Train epoch 1:   4%|▍         | 219/5338 [01:25<28:47,  2.96it/s, loss=-0.7974]
Train epoch 1:   4%|▍         | 220/5338 [01:25<28:53,  2.95it/s, loss=-0.7974]
Train epoch 1:   4%|▍         | 220/5338 [01:25<28:53,  2.95it/s, loss=-1.7598]
Train epoch 1:   4%|▍         | 221/5338 [01:25<29:26,  2.90it/s, loss=-1.7598]
Train epoch 1:   4%|▍         | 221/5338 [01:25<29:26,  2.90it/s, loss=-1.5545]
Train epoch 1:   4%|▍         | 222/5338 [01:25<29:08,  2.93it/s, loss=-1.5545]
Train epoch 1:   4%|▍         | 222/5338 [01:26<29:08,  2.93it/s, loss=-2.2028]
Train epoch 1:   4%|▍         | 223/5338 [01:26<29:04,  2.93it/s, loss=-2.2028]
Train epoch 1:   4%|▍         | 223/5338 [01:26<29:04,  2.93it/s, loss=-1.4522]
Train epoch 1:   4%|▍         | 224/5338 [01:26<29:08,  2.93it/s, loss=-1.4522]
Train epoch 1:   4%|▍         | 224/5338 [01:26<29:08,  2.93it/s, loss=-1.0957]
Train epoch 1:   4%|▍         | 225/5338 [01:26<29:36,  2.88it/s, loss=-1.0957]
Train epoch 1:   4%|▍         | 225/5338 [01:27<29:36,  2.88it/s, loss=-2.3945]
Train epoch 1:   4%|▍         | 226/5338 [01:27<29:28,  2.89it/s, loss=-2.3945]
Train epoch 1:   4%|▍         | 226/5338 [01:27<29:28,  2.89it/s, loss=-1.3960]
Train epoch 1:   4%|▍         | 227/5338 [01:27<29:15,  2.91it/s, loss=-1.3960]
Train epoch 1:   4%|▍         | 227/5338 [01:27<29:15,  2.91it/s, loss=-0.7624]
Train epoch 1:   4%|▍         | 228/5338 [01:27<29:34,  2.88it/s, loss=-0.7624]
Train epoch 1:   4%|▍         | 228/5338 [01:28<29:34,  2.88it/s, loss=-0.7136]
Train epoch 1:   4%|▍         | 229/5338 [01:28<29:07,  2.92it/s, loss=-0.7136]
Train epoch 1:   4%|▍         | 229/5338 [01:28<29:07,  2.92it/s, loss=-2.0401]
Train epoch 1:   4%|▍         | 230/5338 [01:28<28:44,  2.96it/s, loss=-2.0401]
Train epoch 1:   4%|▍         | 230/5338 [01:28<28:44,  2.96it/s, loss=-1.3611]
Train epoch 1:   4%|▍         | 231/5338 [01:28<28:47,  2.96it/s, loss=-1.3611]
Train epoch 1:   4%|▍         | 231/5338 [01:29<28:47,  2.96it/s, loss=-0.8288]
Train epoch 1:   4%|▍         | 232/5338 [01:29<29:06,  2.92it/s, loss=-0.8288]
Train epoch 1:   4%|▍         | 232/5338 [01:29<29:06,  2.92it/s, loss=-1.5690]
Train epoch 1:   4%|▍         | 233/5338 [01:29<29:14,  2.91it/s, loss=-1.5690]
Train epoch 1:   4%|▍         | 233/5338 [01:29<29:14,  2.91it/s, loss=-1.1191]
Train epoch 1:   4%|▍         | 234/5338 [01:29<29:37,  2.87it/s, loss=-1.1191]
Train epoch 1:   4%|▍         | 234/5338 [01:30<29:37,  2.87it/s, loss=-2.7930]
Train epoch 1:   4%|▍         | 235/5338 [01:30<29:45,  2.86it/s, loss=-2.7930]
Train epoch 1:   4%|▍         | 235/5338 [01:30<29:45,  2.86it/s, loss=-1.1845]
Train epoch 1:   4%|▍         | 236/5338 [01:30<29:50,  2.85it/s, loss=-1.1845]
Train epoch 1:   4%|▍         | 236/5338 [01:30<29:50,  2.85it/s, loss=-1.9239]
Train epoch 1:   4%|▍         | 237/5338 [01:30<29:42,  2.86it/s, loss=-1.9239]
Train epoch 1:   4%|▍         | 237/5338 [01:31<29:42,  2.86it/s, loss=-2.1813]
Train epoch 1:   4%|▍         | 238/5338 [01:31<29:20,  2.90it/s, loss=-2.1813]
Train epoch 1:   4%|▍         | 238/5338 [01:31<29:20,  2.90it/s, loss=-0.6872]
Train epoch 1:   4%|▍         | 239/5338 [01:31<28:54,  2.94it/s, loss=-0.6872]
Train epoch 1:   4%|▍         | 239/5338 [01:31<28:54,  2.94it/s, loss=-2.0566]
Train epoch 1:   4%|▍         | 240/5338 [01:31<29:08,  2.92it/s, loss=-2.0566]
Train epoch 1:   4%|▍         | 240/5338 [01:32<29:08,  2.92it/s, loss=-0.9208]
Train epoch 1:   5%|▍         | 241/5338 [01:32<29:28,  2.88it/s, loss=-0.9208]
Train epoch 1:   5%|▍         | 241/5338 [01:32<29:28,  2.88it/s, loss=-1.1821]
Train epoch 1:   5%|▍         | 242/5338 [01:32<29:22,  2.89it/s, loss=-1.1821]
Train epoch 1:   5%|▍         | 242/5338 [01:32<29:22,  2.89it/s, loss=-2.1197]
Train epoch 1:   5%|▍         | 243/5338 [01:32<28:52,  2.94it/s, loss=-2.1197]
Train epoch 1:   5%|▍         | 243/5338 [01:33<28:52,  2.94it/s, loss=-2.2252]
Train epoch 1:   5%|▍         | 244/5338 [01:33<28:33,  2.97it/s, loss=-2.2252]
Train epoch 1:   5%|▍         | 244/5338 [01:33<28:33,  2.97it/s, loss=-1.9470]
Train epoch 1:   5%|▍         | 245/5338 [01:33<28:40,  2.96it/s, loss=-1.9470]
Train epoch 1:   5%|▍         | 245/5338 [01:33<28:40,  2.96it/s, loss=-1.5615]
Train epoch 1:   5%|▍         | 246/5338 [01:33<29:03,  2.92it/s, loss=-1.5615]
Train epoch 1:   5%|▍         | 246/5338 [01:34<29:03,  2.92it/s, loss=-1.0964]
Train epoch 1:   5%|▍         | 247/5338 [01:34<29:25,  2.88it/s, loss=-1.0964]
Train epoch 1:   5%|▍         | 247/5338 [01:34<29:25,  2.88it/s, loss=-2.6332]
Train epoch 1:   5%|▍         | 248/5338 [01:34<29:49,  2.84it/s, loss=-2.6332]
Train epoch 1:   5%|▍         | 248/5338 [01:35<29:49,  2.84it/s, loss=-0.6473]
Train epoch 1:   5%|▍         | 249/5338 [01:35<29:37,  2.86it/s, loss=-0.6473]
Train epoch 1:   5%|▍         | 249/5338 [01:35<29:37,  2.86it/s, loss=-1.0693]
Train epoch 1:   5%|▍         | 250/5338 [01:35<29:49,  2.84it/s, loss=-1.0693]
Train epoch 1:   5%|▍         | 250/5338 [01:35<29:49,  2.84it/s, loss=-1.7303]
Train epoch 1:   5%|▍         | 251/5338 [01:35<30:01,  2.82it/s, loss=-1.7303]
Train epoch 1:   5%|▍         | 251/5338 [01:36<30:01,  2.82it/s, loss=-1.5199]
Train epoch 1:   5%|▍         | 252/5338 [01:36<30:10,  2.81it/s, loss=-1.5199]
Train epoch 1:   5%|▍         | 252/5338 [01:36<30:10,  2.81it/s, loss=-2.1013]
Train epoch 1:   5%|▍         | 253/5338 [01:36<30:20,  2.79it/s, loss=-2.1013]
Train epoch 1:   5%|▍         | 253/5338 [01:36<30:20,  2.79it/s, loss=-0.4164]
Train epoch 1:   5%|▍         | 254/5338 [01:36<29:59,  2.83it/s, loss=-0.4164]
Train epoch 1:   5%|▍         | 254/5338 [01:37<29:59,  2.83it/s, loss=-1.1306]
Train epoch 1:   5%|▍         | 255/5338 [01:37<30:08,  2.81it/s, loss=-1.1306]
Train epoch 1:   5%|▍         | 255/5338 [01:37<30:08,  2.81it/s, loss=-2.1041]
Train epoch 1:   5%|▍         | 256/5338 [01:37<30:21,  2.79it/s, loss=-2.1041]
Train epoch 1:   5%|▍         | 256/5338 [01:37<30:21,  2.79it/s, loss=-2.0518]
Train epoch 1:   5%|▍         | 257/5338 [01:37<30:14,  2.80it/s, loss=-2.0518]
Train epoch 1:   5%|▍         | 257/5338 [01:38<30:14,  2.80it/s, loss=-1.0739]
Train epoch 1:   5%|▍         | 258/5338 [01:38<30:23,  2.79it/s, loss=-1.0739]
Train epoch 1:   5%|▍         | 258/5338 [01:38<30:23,  2.79it/s, loss=-0.1803]
Train epoch 1:   5%|▍         | 259/5338 [01:38<30:15,  2.80it/s, loss=-0.1803]
Train epoch 1:   5%|▍         | 259/5338 [01:38<30:15,  2.80it/s, loss=-0.8795]
Train epoch 1:   5%|▍         | 260/5338 [01:38<29:57,  2.83it/s, loss=-0.8795]
Train epoch 1:   5%|▍         | 260/5338 [01:39<29:57,  2.83it/s, loss=-1.4736]
Train epoch 1:   5%|▍         | 261/5338 [01:39<30:09,  2.81it/s, loss=-1.4736]
Train epoch 1:   5%|▍         | 261/5338 [01:39<30:09,  2.81it/s, loss=-1.3668]
Train epoch 1:   5%|▍         | 262/5338 [01:39<30:06,  2.81it/s, loss=-1.3668]
Train epoch 1:   5%|▍         | 262/5338 [01:40<30:06,  2.81it/s, loss=-0.7493]
Train epoch 1:   5%|▍         | 263/5338 [01:40<30:07,  2.81it/s, loss=-0.7493]
Train epoch 1:   5%|▍         | 263/5338 [01:40<30:07,  2.81it/s, loss=-1.3451]
Train epoch 1:   5%|▍         | 264/5338 [01:40<30:32,  2.77it/s, loss=-1.3451]
Train epoch 1:   5%|▍         | 264/5338 [01:40<30:32,  2.77it/s, loss=-2.0198]
Train epoch 1:   5%|▍         | 265/5338 [01:40<31:09,  2.71it/s, loss=-2.0198]
Train epoch 1:   5%|▍         | 265/5338 [01:41<31:09,  2.71it/s, loss=-0.5673]
Train epoch 1:   5%|▍         | 266/5338 [01:41<31:22,  2.69it/s, loss=-0.5673]
Train epoch 1:   5%|▍         | 266/5338 [01:41<31:22,  2.69it/s, loss=-1.7823]
Train epoch 1:   5%|▌         | 267/5338 [01:41<30:24,  2.78it/s, loss=-1.7823]
Train epoch 1:   5%|▌         | 267/5338 [01:41<30:24,  2.78it/s, loss=-2.3448]
Train epoch 1:   5%|▌         | 268/5338 [01:41<30:17,  2.79it/s, loss=-2.3448]
Train epoch 1:   5%|▌         | 268/5338 [01:42<30:17,  2.79it/s, loss=-0.4361]
Train epoch 1:   5%|▌         | 269/5338 [01:42<29:37,  2.85it/s, loss=-0.4361]
Train epoch 1:   5%|▌         | 269/5338 [01:42<29:37,  2.85it/s, loss=-1.4655]
Train epoch 1:   5%|▌         | 270/5338 [01:42<29:55,  2.82it/s, loss=-1.4655]
